Initial Mass,Initial Metallicity,Overshooting factor,Core Mass,Envelope Mass,Final Fate,Explosion,Termination Code
1.8000,0.0001,0.0160,1.137,0.478,ONeWD*,NO,max_model_number
1.8000,0.0010,0.0000,1.201,0.273,CONeWD*,NO,max_model_number
1.8000,0.0010,0.0140,1.131,0.469,ONeWD*,NO,max_model_number
1.8000,0.0010,0.0160,1.121,0.502,ONeWD*,NO,max_model_number
1.8000,0.0200,0.0000,1.203,0.215,CONeWD*,NO,max_model_number
1.8000,0.0200,0.0140,1.361,0.008,CONewD,YES,logQ_limit
1.8000,0.0200,0.0160,1.349,0.011,CONeWD,NO,logQ_limit
1.9000,0.0001,0.0000,1.167,0.422,ONeWD*,NO,max_model_number
1.9000,0.0001,0.0140,0.113,1.612,ONeWD*,NO,max_model_number
1.9000,0.0001,0.0160,1.128,0.591,ONeWD*,NO,max_model_number
1.9000,0.0010,0.0000,1.169,0.419,ONeWD*,NO,max_model_number
1.9000,0.0010,0.0140,0.128,1.58,ONeWD*,NO,max_model_number
1.9000,0.0010,0.0160,1.349,0.104,ONeWD*,NO,max_model_number
1.9000,0.0200,0.0000,1.203,0.278,CONeWD*,NO,max_model_number
1.9000,0.0200,0.0140,1.346,0.053,ONeWD*,NO,logQ_limit
1.9000,0.0200,0.0160,1.346,0.049,ONeWD*,NO,min_timestep_limit
2.0000,0.0001,0.0000,1.165,0.523,ONeWD*,NO,min_timestep_limit
2.0000,0.0001,0.0140,1.131,0.623,ONeWD*,NO,max_model_number
2.0000,0.0001,0.0160,1.348,0.183,ONeWD*,NO,max_model_number
2.0000,0.0010,0.0000,1.167,0.531,ONeWD*,NO,max_model_number
2.0000,0.0010,0.0140,1.124,0.471,ONeWD*,NO,max_model_number
2.0000,0.0010,0.0160,1.349,0.17,ONeWD*,NO,max_model_number
2.0000,0.0200,0.0000,1.19,0.342,ONeWD*,NO,max_model_number
2.0000,0.0200,0.0140,1.241,0.207,ONeWD*,NO,max_model_number
2.0000,0.0200,0.0160,1.348,0.112,ONeWD*,NO,min_timestep_limit
2.1000,0.0001,0.0000,1.172,0.624,ONeWD*,NO,max_model_number
2.1000,0.0001,0.0140,1.193,0.774,ONeWD*,NO,v_surf_div_v_kh_upper_limit
2.1000,0.0001,0.0160,1.185,0.784,ONeWD*,NO,max_model_number
2.1000,0.0010,0.0000,1.167,0.608,ONeWD*,NO,max_model_number
2.1000,0.0010,0.0140,1.019,0.585,ONeWD*,NO,max_model_number
2.1000,0.0010,0.0160,1.357,0.163,ONeWD*,NO,max_model_number
2.1000,0.0200,0.0000,1.369,0.104,ONeWD*,NO,min_timestep_limit
2.1000,0.0200,0.0140,1.022,0.487,ONeWD*,NO,max_model_number
2.1000,0.0200,0.0160,1.345,0.156,ONeWD*,NO,max_model_number
2.2000,0.0001,0.0000,1.188,0.72,ONeWD*,NO,max_model_number
2.2000,0.0001,0.0140,1.251,0.803,ONeWD*,NO,v_surf_div_v_kh_upper_limit
